name,nationalities,date_of_listing,source
Khazalbek Bakhtibekovich Atabekov,Belarus,2020-09-28,cannada
Dmitry Vladimirovich Balaba,Belarus,2020-09-28,cannada
Aleksandr Petrovich Barsukov,Belarus,2020-09-28,cannada
Yelena Nikolaevna Dmukhailo,Belarus,2020-09-28,cannada
Vadim Dmitriyevich Ipatov,Belarus,2020-09-28,cannada
Yuri Khadzhimuratovich Karaev,Belarus,2020-09-28,cannada
Ivan Vladimirovich Kubrakov,Belarus,2020-09-28,cannada
Aleksandr Grigoryevich Lukashenko,Belarus,2020-09-28,cannada
Viktor Aleksandrovich Lukashenko,Belarus,2020-09-28,cannada
Yuri Gennadevich Nazarenko,Belarus,2020-09-28,cannada
Lidia Mikhailovna Yermoshina,Belarus,2020-09-28,cannada
Aleksandr Mikhailovich Aleshkevich,Belarus,2020-10-14,cannada
Aleksandr Vyacheslavovich Astreyko,Belarus,2020-10-14,cannada
Aleksandr Bykov,Belarus,2020-10-14,cannada
Irina Aleksandrovna Tselikovets,Belarus,2020-10-14,cannada
Oleg Anatolyevich Chernyshev,Belarus,2020-10-14,cannada
Mikhail Aleksandrovich Domarnatskiy,Belarus,2020-10-14,cannada
Olga Leonidovna Doroshenko,Belarus,2020-10-14,cannada
Andrey Vasilyevich Galenka,Belarus,2020-10-14,cannada
Maxim Aleksandrovich Gamola,Belarus,2020-10-14,cannada
Andrey Anatolyevich Gurzhiy,Belarus,2020-10-14,cannada
Svetlana Petrovna Katsubo,Belarus,2020-10-14,cannada
Vladimir Viktorovich Kalach,Belarus,2020-10-14,cannada
Sergey Alekseyevich Kalinovskiy,Belarus,2020-10-14,cannada
Gennady Arkadyevich Kazakevich,Belarus,2020-10-14,cannada
Sergey Nikolayevich Khomenko,Belarus,2020-10-14,cannada
Aleksandr Vladimirovich Konyuk,Belarus,2020-10-14,cannada
Aleksandr Mikhailovich Losyakin,Belarus,2020-10-14,cannada
Oleg Vladimirovich Matkin,Belarus,2020-10-14,cannada
Maxim Yakovlevich Mikhovich,Belarus,2020-10-14,cannada
Igor Anatolyevich Plyshevskiy,Belarus,2020-10-14,cannada
Marina Yuryevna Rakhmanova,Belarus,2020-10-14,cannada
Dmitry Vasilyevich Reutskiy,Belarus,2020-10-14,cannada
Aleksandr Svyatoslavovich Shepelev,Belarus,2020-10-14,cannada
Oleg Nikolayevich Shulyakovskiy,Belarus,2020-10-14,cannada
Oleg Leonidovich Slizhevskiy,Belarus,2020-10-14,cannada
Ivan Yuryevich Sokolovskiy,Belarus,2020-10-14,cannada
Sergey Yevgenyevich Terebov,Belarus,2020-10-14,cannada
Valery Pavlovich Vakulchik,Belarus,2020-10-14,cannada
Anatoly Anatolyevich Vasilyev,Belarus,2020-10-14,cannada
Aleksandr Pavlovich Vasilyev,Belarus,2020-10-14,cannada
Leonid Zhuravskiy,Belarus,2020-10-14,cannada
Igor Petrovich Sergeenko,Belarus,2020-11-05,cannada
Aleksey Aleksandrovich Volkov,Belarus,2020-11-05,cannada
Ivan Stanislavovich Tertel,Belarus,2020-11-05,cannada
Ivan Danilovich Noskevich,Belarus,2020-11-05,cannada
Roman Ivanovich Melnik,Belarus,2020-11-05,cannada
Andrey Alekseyevich Ravkov,Belarus,2020-11-05,cannada
Sergey Yakovlevich Azemsha,Belarus,2020-11-05,cannada
Andrey Fedorovich Smal,Belarus,2020-11-05,cannada
Andrey Yuryevich Pavlyuchenko,Belarus,2020-11-05,cannada
Natalya Nikolayevna Eismont,Belarus,2020-11-05,cannada
Igor Ivanovich Buzovskiy,Belarus,2020-11-05,cannada
Sergey Yevgenyevich Zubkov,Belarus,2020-11-05,cannada
Petr Petrovich Miklashevich,Belarus,2020-11-05,cannada
Aleksey Oleksin,Belarus,2021-06-17,cannada
Aleksey Nikolayevich Avramenko,Belarus,2021-06-17,cannada
Leonid Nikolayevich Churo,Belarus,2021-06-17,cannada
Oleg Sergeyevich Gaidukevich,Belarus,2021-06-17,cannada
Igor Vladimirovich Golub,Belarus,2021-06-17,cannada
Andrey Nikolayevich Gurtsevich,Belarus,2021-06-17,cannada
Valeriy Valeryevich Ivankovich,Belarus,2021-06-17,cannada
Nikolay Nikolayevich Karpenkov,Belarus,2021-06-17,cannada
Viktor Gennadyevich Khrenin,Belarus,2021-06-17,cannada
Igor Vladimirovich Lutsky,Belarus,2021-06-17,cannada
Maxim Vladimirovich Ryzhenkov,Belarus,2021-06-17,cannada
Andrey Ivanovich Shved,Belarus,2021-06-17,cannada
Artem Igorevich Sikorsky,Belarus,2021-06-17,cannada
Nikolay Nikolayevich Vorobei,Belarus,2021-06-17,cannada
Aleksandr Vladimirovich Vasiliuk,Belarus,2021-06-17,cannada
Aleksandr Nikolayevich Zaitsev,Belarus,2021-06-17,cannada
Oleg Nikolayevich Belyakov,Belarus,2021-06-17,cannada
Sergei Yepikhov,Belarus,2021-12-02,cannada
Natalia Mikhailovna Buguk,Belarus,2021-12-02,cannada
Alina Sergeevna Kasyanchyk,Belarus,2021-12-02,cannada
Maksim Leonidovich Trusevich,Belarus,2021-12-02,cannada
Dmitriy Karsyuk,Belarus,2021-12-02,cannada
Andrei Parshyn,Belarus,2021-12-02,cannada
