name,nationalities,date_of_listing,source
Khazalbek Bakhtibekovich Atabekov,Belarus,2020-09-28,Cannada
Dmitry Vladimirovich Balaba,Belarus,2020-09-28,Cannada
Aleksandr Petrovich Barsukov,Belarus,2020-09-28,Cannada
Yelena Nikolaevna Dmukhailo,Belarus,2020-09-28,Cannada
Vadim Dmitriyevich Ipatov,Belarus,2020-09-28,Cannada
Yuri Khadzhimuratovich Karaev,Belarus,2020-09-28,Cannada
Ivan Vladimirovich Kubrakov,Belarus,2020-09-28,Cannada
Aleksandr Grigoryevich Lukashenko,Belarus,2020-09-28,Cannada
Viktor Aleksandrovich Lukashenko,Belarus,2020-09-28,Cannada
Yuri Gennadevich Nazarenko,Belarus,2020-09-28,Cannada
Lidia Mikhailovna Yermoshina,Belarus,2020-09-28,Cannada
Aleksandr Mikhailovich Aleshkevich,Belarus,2020-10-14,Cannada
Aleksandr Vyacheslavovich Astreyko,Belarus,2020-10-14,Cannada
Aleksandr Bykov,Belarus,2020-10-14,Cannada
Irina Aleksandrovna Tselikovets,Belarus,2020-10-14,Cannada
Oleg Anatolyevich Chernyshev,Belarus,2020-10-14,Cannada
Mikhail Aleksandrovich Domarnatskiy,Belarus,2020-10-14,Cannada
Olga Leonidovna Doroshenko,Belarus,2020-10-14,Cannada
Andrey Vasilyevich Galenka,Belarus,2020-10-14,Cannada
Maxim Aleksandrovich Gamola,Belarus,2020-10-14,Cannada
Andrey Anatolyevich Gurzhiy,Belarus,2020-10-14,Cannada
Svetlana Petrovna Katsubo,Belarus,2020-10-14,Cannada
Vladimir Viktorovich Kalach,Belarus,2020-10-14,Cannada
Sergey Alekseyevich Kalinovskiy,Belarus,2020-10-14,Cannada
Gennady Arkadyevich Kazakevich,Belarus,2020-10-14,Cannada
Sergey Nikolayevich Khomenko,Belarus,2020-10-14,Cannada
Aleksandr Vladimirovich Konyuk,Belarus,2020-10-14,Cannada
Aleksandr Mikhailovich Losyakin,Belarus,2020-10-14,Cannada
Oleg Vladimirovich Matkin,Belarus,2020-10-14,Cannada
Maxim Yakovlevich Mikhovich,Belarus,2020-10-14,Cannada
Igor Anatolyevich Plyshevskiy,Belarus,2020-10-14,Cannada
Marina Yuryevna Rakhmanova,Belarus,2020-10-14,Cannada
Dmitry Vasilyevich Reutskiy,Belarus,2020-10-14,Cannada
Aleksandr Svyatoslavovich Shepelev,Belarus,2020-10-14,Cannada
Oleg Nikolayevich Shulyakovskiy,Belarus,2020-10-14,Cannada
Oleg Leonidovich Slizhevskiy,Belarus,2020-10-14,Cannada
Ivan Yuryevich Sokolovskiy,Belarus,2020-10-14,Cannada
Sergey Yevgenyevich Terebov,Belarus,2020-10-14,Cannada
Valery Pavlovich Vakulchik,Belarus,2020-10-14,Cannada
Anatoly Anatolyevich Vasilyev,Belarus,2020-10-14,Cannada
Aleksandr Pavlovich Vasilyev,Belarus,2020-10-14,Cannada
Leonid Zhuravskiy,Belarus,2020-10-14,Cannada
Igor Petrovich Sergeenko,Belarus,2020-11-05,Cannada
Aleksey Aleksandrovich Volkov,Belarus,2020-11-05,Cannada
Ivan Stanislavovich Tertel,Belarus,2020-11-05,Cannada
Ivan Danilovich Noskevich,Belarus,2020-11-05,Cannada
Roman Ivanovich Melnik,Belarus,2020-11-05,Cannada
Andrey Alekseyevich Ravkov,Belarus,2020-11-05,Cannada
Sergey Yakovlevich Azemsha,Belarus,2020-11-05,Cannada
Andrey Fedorovich Smal,Belarus,2020-11-05,Cannada
Andrey Yuryevich Pavlyuchenko,Belarus,2020-11-05,Cannada
Natalya Nikolayevna Eismont,Belarus,2020-11-05,Cannada
Igor Ivanovich Buzovskiy,Belarus,2020-11-05,Cannada
Sergey Yevgenyevich Zubkov,Belarus,2020-11-05,Cannada
Petr Petrovich Miklashevich,Belarus,2020-11-05,Cannada
Aleksey Oleksin,Belarus,2021-06-17,Cannada
Aleksey Nikolayevich Avramenko,Belarus,2021-06-17,Cannada
Leonid Nikolayevich Churo,Belarus,2021-06-17,Cannada
Oleg Sergeyevich Gaidukevich,Belarus,2021-06-17,Cannada
Igor Vladimirovich Golub,Belarus,2021-06-17,Cannada
Andrey Nikolayevich Gurtsevich,Belarus,2021-06-17,Cannada
Valeriy Valeryevich Ivankovich,Belarus,2021-06-17,Cannada
Nikolay Nikolayevich Karpenkov,Belarus,2021-06-17,Cannada
Viktor Gennadyevich Khrenin,Belarus,2021-06-17,Cannada
Igor Vladimirovich Lutsky,Belarus,2021-06-17,Cannada
Maxim Vladimirovich Ryzhenkov,Belarus,2021-06-17,Cannada
Andrey Ivanovich Shved,Belarus,2021-06-17,Cannada
Artem Igorevich Sikorsky,Belarus,2021-06-17,Cannada
Nikolay Nikolayevich Vorobei,Belarus,2021-06-17,Cannada
Aleksandr Vladimirovich Vasiliuk,Belarus,2021-06-17,Cannada
Aleksandr Nikolayevich Zaitsev,Belarus,2021-06-17,Cannada
Oleg Nikolayevich Belyakov,Belarus,2021-06-17,Cannada
Sergei Yepikhov,Belarus,2021-12-02,Cannada
Natalia Mikhailovna Buguk,Belarus,2021-12-02,Cannada
Alina Sergeevna Kasyanchyk,Belarus,2021-12-02,Cannada
Maksim Leonidovich Trusevich,Belarus,2021-12-02,Cannada
